Tour,Customer Name,Address_Line1_,# of Visits,Serve Time
M,BREAD BASKET,FM 812 2287,2,30
,BREAD BASKET,2910 FM 812,2,30
,BREAD BASKET TEXACO,12800 PEARCE LN,2,30
,BROOKSHIRE B 0034,1400 FANNIN,4,30
,BROOKSHIRE B 0055,501 NW LOOP 230,4,30
,BUC EES 0028,1700 HWY 71 E,4,20
,HARLANS 08,236 COLLEGE ST,4,20
,HEB 0256,2105 MILAM ST,4,60
,HEB 0416,450 E TRAVIS,4,60
,JDS SUPERMARKET,9111 FM 812,2,30
,SONIC 2378 MANN HILL,717 E TRAVIS,1,20
,SONIC 5417 CONWAY GRP,1481 STATE HWY 71 W,1,20
,STAR MARKET,7930 THAXTON RD,2,30
,WALMART 0503,2103 MILAM ST,4,45
,WALMART 0846,2125 W TRAWIS,4,60
,WALMART 1042,488 HWY 71 W,8,75
R,EL RANCHO 0018,8752 RESEARCH BLVD,8,30
,FOREST BLUFF,14300 A FM 969,2,30
,HEB 0091,2508 E RIVERSIDE DR,8,60
,HEB 0425,1000 E 41ST,8,60
,HEB 0465,2701 E 7TH ST,8,60
,HEB 0628,2512 E RIVERSIDE,2,20
,LA HACIENDA 0002 TR,2410 E RIVERSIDE,2,30
,LA HACIENDA 0005,7517 CAMERON ROAD ST,2,30
,LA HACIENDA MARKET,1812 PEYTON GIN RD,2,30
,LA MICHOACANA AUS   0001,1917 E 7TH ST,8,30
,LA MICHOACANA AUS   0006,2237B E RIVERSIDE DR,8,30
,MI TIENDA MEAT MARKET,8007 GESSNER DR,2,30
,SONIC 1507 CONWAY GRP,9325 N LAMAR,1,20
,SONIC 1531 CONWAY GRP,6208 CAMERON RD,1,20
,SONIC 1537 CONWAY GRP,1815 AIRPORT BLVD,1,20
,SONIC 1541 CONWAY GRP,1745 E OLTORF,1,20
,SONIC 1562 CONWAY GRP,7112 ED BLUESTEIN BL,1,20
,SONIC 4057 CONWAY GRP,11215 HWY 290 E,8,20
,TARGET 0095,8601 RESEARCH BLVD,8,30
,WALMART 4554,2525 W ANDERSON LN,8,60
T,BASTROP,305 INDUSTRIAL BLVD,8,30
,BROOKSHIRE B 0037,276 ORANGE,4,30
,HEB 0475,1080 HWY 290 E,8,60
,HEB 0582,400 HWY 71 W,8,60
,SONIC 1681 KEN HILL,103 PERKINS ST,1,20
,SONIC 1984 CONWAY GRP,1134 HWY 290,1,20
,SONIC 2112 KEN HILL,1254 E AUSTIN,1,20
,WALMART 0473,US HWY 290/2374 E AU,8,45
,WALMART 3169,11923 US HWY 290 E,8,60
,WALMART 3170,1320 W HWY 290,8,45
W,EL RANCHO 0024,6800 BERKMAN,8,30
,FIESTA 0025,3909 N IH 35,8,30
,GAMA 1163 WHISTLE STOP GROCERY,834 E RUNDBERG,2,30
,HEB 0161,7112 ED BLUESTEIN,8,60
,HEB 0183,9414 N LAMAR BLVD,8,60
,HEB 0639,1801 E 51ST ST,8,60
,LA HACIENDA MKT,9717 N LAMAR,2,30
,LA MICHOACANA AUS   0002,6908 CAMERON RD,8,30
,LA MICHOACANA AUS   0004,9308 LAMAR BLVD N ST,8,30
,LA MICHOACANA AUS   0005,5706 MANOR RD STE B,8,30
