Tour,Customer_Name,Address,City,State,# of Visits,Serve Time,Type
M,-----------------,-----------------,-----------------,---,----,----,
R,-----------------,-----------------,-----------------,---,----,----,
T,-----------------,-----------------,-----------------,---,----,----,
W,-----------------,-----------------,-----------------,---,----,----,
T,BASTROP,305 INDUSTRIAL BLVD,BASTROP,TX,1 per month,"Monday, July 20, 2015",ME
M,BREAD BASKET,FM 812 2287,DALE,TX,1 per month,"Monday, July 20, 2015",CV
M,BROOKSHIRE B 0034,1400 FANNIN,COLUMBUS,TX,1 per week,"Monday, July 20, 2015",ME
M,BUC EES 0028,1700 HWY 71 E,BASTROP,TX,1 per month,"Monday, July 20, 2015",ME
R,EL RANCHO 0018,8752 RESEARCH BLVD,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
W,EL RANCHO 0024,6800 BERKMAN,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
W,FIESTA 0025,3909 N IH 35,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
R,FOREST BLUFF,14300 A FM 969,DEL VALLE,TX,1 per month,"Monday, July 20, 2015",CV
W,GAMA 1163 WHISTLE STOP GROCERY,834 E RUNDBERG,AUSTIN,TX,1 per month,"Monday, July 20, 2015",CV
M,HARLANS 08,236 COLLEGE ST,SCHULENBURG,TX,1 per month,"Monday, July 20, 2015",ME
R,HEB 0091,2508 E RIVERSIDE DR,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
W,HEB 0161,7112 ED BLUESTEIN,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
W,HEB 0183,9414 N LAMAR BLVD,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
M,HEB 0256,2105 MILAM ST,COLUMBUS,TX,1 per week,"Monday, July 20, 2015",ME
T,HEB 0475,1080 HWY 290 E,ELGIN,TX,1 per week,"Monday, July 20, 2015",ME
T,HEB 0582,400 HWY 71 W,BASTROP,TX,1 per week,"Monday, July 20, 2015",ME
R,HEB 0628,2512 E RIVERSIDE,AUSTIN,TX,1 per month,"Monday, July 20, 2015",CV
W,HEB 0639,1801 E 51ST ST,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
R,LA MICHOACANA AUS   0001,1917 E 7TH ST,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
W,LA MICHOACANA AUS   0002,6908 CAMERON RD,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
R,SONIC 1562 CONWAY GRP,7112 ED BLUESTEIN BL,AUSTIN,TX,semi annually,"Monday, July 20, 2015",CV
T,SONIC 1984 CONWAY GRP,1134 HWY 290,ELGIN,TX,semi annually,"Monday, July 20, 2015",CV
T,SONIC 2112 KEN HILL,1254 E AUSTIN,GIDDINGS,TX,semi annually,"Monday, July 20, 2015",CV
M,SONIC 2378 MANN HILL,717 E TRAVIS,LA GRANGE,TX,semi annually,"Monday, July 20, 2015",CV
W,SONIC 3356 CONWAY GRP,2706 GONZALEZ,AUSTIN,TX,semi annually,"Monday, July 20, 2015",CV
R,SONIC 4057 CONWAY GRP,11215 HWY 290 E,MANOR,TX,semi annually,"Monday, July 20, 2015",ME
M,SONIC 5417 CONWAY GRP,1481 STATE HWY 71 W,WYLDWOOD,TX,semi annually,"Monday, July 20, 2015",CV
R,TARGET 0095,8601 RESEARCH BLVD,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
W,TARGET 1542,5621 N IH 35,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
T,WALMART 0473,US HWY 290/2374 E AU,GIDDINGS,TX,1 per week,"Monday, July 20, 2015",ME
M,WALMART 0503,2103 MILAM ST,COLUMBUS,TX,1 per week,"Monday, July 20, 2015",ME
M,WALMART 1042,488 HWY 71 W,BASTROP,TX,1 per week,"Monday, July 20, 2015",ME
W,WALMART 1185,1030 NORWOOD PARK BL,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
T,WALMART 3169,11923 US HWY 290 E,MANOR,TX,1 per week,"Monday, July 20, 2015",ME
T,WALMART 3170,1320 W HWY 290,ELGIN,TX,1 per week,"Monday, July 20, 2015",ME
R,WALMART 4554,2525 W ANDERSON LN,AUSTIN,TX,1 per week,"Monday, July 20, 2015",ME
