Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
BAGELS,,,,198,-12.07,17.14,34,0,72,0,103,38,45,34,32,64,38,213,213
BAGELS,SARA LEE,,,76,-24.50,13.88,11,0,28,0,36,10,16,11,12,25,10,74,74
BAGELS,SARA LEE,SL FULL SIZ BAGELS,,76,-24.50,13.88,11,0,28,0,36,10,16,11,12,25,10,74,74
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL BLUEBRY BGL 6P20Z,23,-29.05,20.65,5,0,8,0,12,3,5,3,4,7,3,23,22
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL CINNRSN BGL 6P20Z,31,-24.64,5.14,2,0,12,0,12,4,6,5,4,10,4,28,29
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL PLAIN BGL 6P 20Z,22,-18.98,18.96,4,0,8,0,12,3,5,3,4,8,3,23,23
BAGELS,THOMAS BRANDS,,,122,-1.95,19.18,23,0,44,0,67,28,29,23,20,39,28,139,139
BAGELS,THOMAS BRANDS,BAGELS 20OZ,,96,4.16,19.51,19,0,32,0,54,19,26,15,16,34,19,105,110
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BAGEL BANANA 6P19Z,0,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BGL APPLE PIE 6P19Z,1,100.00,0.00,0,0,2,0,0,2,0,2,0,0,2,4,4
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BLUEBRY BGL 6P20Z,17,70.94,30.00,5,0,6,0,12,2,4,2,3,5,2,20,16
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN RSN BGL 6P/20Z,22,34.52,12.08,3,0,6,0,8,3,6,3,4,8,3,17,24
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN SWL BGL 6P 20Z,20,14.29,28.33,6,0,6,0,12,3,6,3,3,8,3,21,23
BAGELS,THOMAS BRANDS,BAGELS 20OZ,EVRTHNG BGL 6P/20Z,9,-13.82,17.92,2,0,3,0,6,3,2,2,2,3,3,12,12
BAGELS,THOMAS BRANDS,BAGELS 20OZ,LTD ED BGL MFTST6P19,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,THOMAS BRANDS,BAGELS 20OZ,PLAIN BGL 6P20Z,21,-13.47,14.40,3,0,6,0,12,3,6,3,4,8,3,21,24
BAGELS,THOMAS BRANDS,BAGELS 20OZ,WHL WHT BGL 6P20Z,6,73.81,12.33,1,0,3,0,4,3,2,0,0,2,3,10,7
BAGELS,THOMAS BRANDS,MINI BAGELS,,14,-20.19,12.05,2,0,6,0,7,6,0,6,0,3,6,19,15
BAGELS,THOMAS BRANDS,MINI BAGELS,BSC MINI BGL 10P 15Z,4,-40.54,13.64,1,0,2,0,2,2,0,2,0,0,2,6,4
