Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug,,,,,,,,,,,
BAGELS,,,,187,-10.42,19.92,37,0,72,0,103,38,45,34,32,64,38,213,213,,,,,,,,,,,
BAGELS,SARA LEE,,,77,-23.25,7.17,6,0,28,0,36,10,16,11,12,25,10,74,74,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,,77,-23.25,7.17,6,0,28,0,36,10,16,11,12,25,10,74,74,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL BLUEBRY BGL 6P20Z,24,-25.40,10.64,3,0,8,0,12,3,5,3,4,7,3,23,22,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL CINNRSN BGL 6P20Z,30,-27.88,5.04,2,0,12,0,12,4,6,5,4,10,4,28,29,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL PLAIN BGL 6P 20Z,24,-13.76,6.38,2,0,8,0,12,3,5,3,4,8,3,23,23,,,,,,,,,,,
BAGELS,THOMAS BRANDS,,,110,1.38,28.80,32,0,44,0,67,28,29,23,20,39,28,139,139,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,,83,-1.78,31.63,26,0,32,0,54,19,26,15,16,34,19,105,110,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BGL APPLE PIE 6P19Z,3,100.00,0.00,0,0,2,0,0,2,0,2,0,0,2,4,4,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BLUEBRY BGL 6P20Z,12,19.51,73.47,9,0,6,0,12,2,4,2,3,5,2,20,16,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN RSN BGL 6P/20Z,19,11.94,18.67,4,0,6,0,8,3,6,3,4,8,3,17,24,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN SWL BGL 6P 20Z,15,-21.05,58.33,9,0,6,0,12,3,6,3,3,8,3,21,23,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,EVRTHNG BGL 6P/20Z,9,-12.82,11.76,1,0,3,0,6,3,2,2,2,3,3,12,12,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,LTD ED BGL MFTST6P19,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,PLAIN BGL 6P20Z,20,-10.11,16.25,3,0,6,0,12,3,6,3,4,8,3,21,24,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,WHL WHT BGL 6P20Z,6,50.00,12.50,1,0,3,0,4,3,2,0,0,2,3,10,7,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,,15,-6.35,11.86,2,0,6,0,7,6,0,6,0,3,6,19,15,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,BSC MINI BGL 10P 15Z,5,-21.74,11.11,1,0,2,0,2,2,0,2,0,0,2,6,4,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,PLN MINI BGL 10P 15Z,7,-10.00,3.70,0,0,2,0,3,3,0,2,0,3,3,8,8,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,WWHE MINI BGL 10P15Z,4,40.00,28.57,1,0,2,0,2,1,0,2,0,0,1,5,3,,,,,,,,,,,
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,,13,47.06,30.00,4,0,6,0,6,3,3,2,4,2,3,15,14,,,,,,,,,,,
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN EVRY 8P13,4,60.00,37.50,2,0,2,0,2,0,1,2,0,0,0,4,3,,,,,,,,,,,
