Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
BAGELS,,,,204,12.09,9.31,19,0,72,0,103,38,45,34,32,64,38,213,213
BAGELS,SARA LEE,,,88,-14.56,1.14,1,0,28,0,36,10,16,11,12,25,10,74,74
BAGELS,SARA LEE,SL FULL SIZ BAGELS,,88,-14.56,1.14,1,0,28,0,36,10,16,11,12,25,10,74,74
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL BLUEBRY BGL 6P20Z,23,-37.84,4.35,1,0,8,0,12,3,5,3,4,7,3,23,22
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL CINNRSN BGL 6P20Z,41,2.50,0.00,0,0,12,0,12,4,6,5,4,10,4,28,29
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL PLAIN BGL 6P 20Z,24,-7.69,0.00,0,0,8,0,12,3,5,3,4,8,3,23,23
BAGELS,THOMAS BRANDS,,,116,46.84,15.52,18,0,44,0,67,28,29,23,20,39,28,139,139
BAGELS,THOMAS BRANDS,BAGELS 20OZ,,85,7.59,17.65,15,0,32,0,54,19,26,15,16,34,19,105,110
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BGL APPLE PIE 6P19Z,6,100.00,0.00,0,0,2,0,0,2,0,2,0,0,2,4,4
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BLUEBRY BGL 6P20Z,22,214.29,9.09,2,0,6,0,12,2,4,2,3,5,2,20,16
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN RSN BGL 6P/20Z,12,-33.33,50.00,6,0,6,0,8,3,6,3,4,8,3,17,24
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN SWL BGL 6P 20Z,11,-45.00,63.64,7,0,6,0,12,3,6,3,3,8,3,21,23
BAGELS,THOMAS BRANDS,BAGELS 20OZ,EVRTHNG BGL 6P/20Z,10,-16.67,0.00,0,0,3,0,6,3,2,2,2,3,3,12,12
BAGELS,THOMAS BRANDS,BAGELS 20OZ,PLAIN BGL 6P20Z,18,0.00,0.00,0,0,6,0,12,3,6,3,4,8,3,21,24
BAGELS,THOMAS BRANDS,BAGELS 20OZ,WHL WHT BGL 6P20Z,6,50.00,0.00,0,0,3,0,4,3,2,0,0,2,3,10,7
BAGELS,THOMAS BRANDS,MINI BAGELS,,17,"1,800.00",5.88,1,0,6,0,7,6,0,6,0,3,6,19,15
BAGELS,THOMAS BRANDS,MINI BAGELS,BSC MINI BGL 10P 15Z,5,600.00,20.00,1,0,2,0,2,2,0,2,0,0,2,6,4
BAGELS,THOMAS BRANDS,MINI BAGELS,PLN MINI BGL 10P 15Z,6,100.00,0.00,0,0,2,0,3,3,0,2,0,3,3,8,8
BAGELS,THOMAS BRANDS,MINI BAGELS,WWHE MINI BGL 10P15Z,6,100.00,0.00,0,0,2,0,2,1,0,2,0,0,1,5,3
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,,14,"1,300.00",14.29,2,0,6,0,6,3,3,2,4,2,3,15,14
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN EVRY 8P13,6,200.00,0.00,0,0,2,0,2,0,1,2,0,0,0,4,3
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN PLN 8P13Z,2,200.00,100.00,2,0,2,0,2,3,2,0,2,2,3,7,9
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN100%WW8P13,6,500.00,0.00,0,0,2,0,2,0,0,0,2,0,0,4,2
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,,,,"2,713",3.04,2.21,60,591,425,347,1030,447,583,381,334,846,447,2840,2591
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,,,67,139.29,7.46,5,0,2,0,19,29,7,2,0,6,29,50,44
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,,37,100.00,13.51,5,0,2,0,7,17,7,2,0,0,17,26,26
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR POTATO HD 8P15Z,9,100.00,0.00,0,0,0,0,0,9,0,0,0,0,9,9,9
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR POTATO SAND 8P15Z,8,100.00,0.00,0,0,0,0,0,8,0,0,0,0,8,8,8
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL HOT DOG 8P/14Z,15,100.00,20.00,3,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL SAND SES 8P15Z,4,100.00,50.00,2,0,0,0,6,0,6,0,0,0,0,6,6
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL SAND WHEAT8P16,1,100.00,0.00,0,0,2,0,1,0,1,2,0,0,0,3,3
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR-BB-ORO SPECLTYBUN,,6,-25.00,0.00,0,0,0,0,6,6,0,0,0,0,6,12,6
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR-BB-ORO SPECLTYBUN,OR SP STEAK RL 6P15Z,6,-25.00,0.00,0,0,0,0,6,6,0,0,0,0,6,12,6
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,ORO HAMBURGER,,24,20.00,0.00,0,0,0,0,6,6,0,0,0,6,6,12,12
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,ORO HAMBURGER,"ORO 4.5""WW RLS 8P21Z",24,20.00,0.00,0,0,0,0,6,6,0,0,0,6,6,12,12
BUNS-ROLLS,BALL PARK,,,92,61.40,3.26,3,36,14,8,32,9,27,14,0,18,9,99,68
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,,92,61.40,3.26,3,36,14,8,32,9,27,14,0,18,9,99,68
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 3.75""SAND RL12P21",10,266.67,0.00,0,5,0,0,0,0,5,0,0,0,0,5,5
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 6""HOTDOG 12P 20Z",10,25.00,0.00,0,5,5,0,0,0,5,5,0,0,0,10,10
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 6""TAIL BRAT 6P16Z",3,100.00,100.00,3,0,0,0,6,0,0,0,0,0,0,6,0
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HAM RL8P14Z,24,118.18,0.00,0,8,0,8,8,0,8,0,0,0,0,24,8
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HD 8P 13Z,45,2.27,0.00,0,18,9,0,18,9,9,9,0,18,9,54,45
